Year,Reporting_week,0-4,15-64,5-14,65+,Unknown,Total
2014,1,13,23,3,57,1,97
2014,2,18,36,,122,1,177
2014,3,21,31,5,153,,210
2014,4,21,37,6,129,1,194
2014,5,25,47,6,139,,217
2014,6,26,41,3,74,,144
2014,7,21,35,2,93,1,152
2014,8,25,31,4,88,,148
2014,9,24,22,7,91,,144
2014,10,30,31,7,65,1,134
2014,11,30,20,3,56,1,110
2014,12,28,29,4,71,,132
2014,13,29,27,6,88,3,153
2014,14,33,26,4,91,1,155
2014,15,24,23,4,45,1,97
2014,16,15,15,2,49,,81
2014,17,22,22,2,64,,110
2014,18,23,22,3,31,,79
2014,19,21,22,3,28,,74
2014,20,22,6,1,17,5,51
2014,21,18,5,2,28,,53
2014,22,15,12,2,18,,47
2014,23,9,9,1,19,,38
2014,24,15,4,2,13,1,35
2014,25,17,9,,20,,46
2014,26,17,20,5,24,,66
2014,27,21,14,,16,,51
2014,28,27,17,6,11,,61
2014,29,22,10,5,14,,51
2014,30,21,13,1,12,,47
2014,31,19,17,3,13,1,53
2014,32,21,20,3,17,,61
2014,33,17,17,4,9,,47
2014,34,23,8,2,16,,49
2014,35,23,26,4,35,,88
2014,36,31,27,2,52,1,113
2014,37,21,10,2,34,,67
2014,38,17,13,3,33,,66
2014,39,19,11,4,24,,58
2014,40,17,15,4,35,1,72
2014,41,31,26,4,23,,84
2014,42,26,15,,32,,73
2014,43,37,14,2,51,,104
2014,44,32,25,2,40,1,100
2014,45,32,33,3,60,,128
2014,46,21,22,2,48,1,94
2014,47,24,14,6,44,,88
2014,48,16,22,1,82,10,131
2014,49,24,33,3,116,1,177
2014,50,35,34,1,187,2,259
2014,51,19,33,2,148,2,204
2014,52,17,23,1,76,,117
2015,1,18,21,2,119,1,161
2015,2,28,33,1,103,2,167
2015,3,36,27,2,109,,174
2015,4,30,33,4,164,,231
2015,5,26,33,3,169,,231
2015,6,27,36,2,171,,236
2015,7,34,47,5,199,,285
2015,8,31,53,9,226,1,320
2015,9,19,52,6,219,1,297
2015,10,33,47,9,188,8,285
2015,11,23,52,3,183,,261
2015,12,40,48,6,203,,297
2015,13,36,46,5,193,,280
2015,14,29,36,6,182,1,254
2015,15,17,44,3,172,,236
2015,16,16,37,4,166,,223
2015,17,22,32,7,162,,223
2015,18,22,46,9,131,,208
2015,19,23,35,2,89,,149
2015,20,15,28,4,88,,135
2015,21,17,31,4,52,,104
2015,22,14,17,2,51,,84
2015,23,17,14,5,46,3,85
2015,24,15,14,4,44,1,78
2015,25,16,15,9,24,,64
2015,26,11,14,1,39,2,67
2015,27,8,23,1,12,,44
2015,28,9,17,,11,,37
2015,29,17,8,,8,,33
2015,30,12,17,4,15,,48
2015,31,7,14,3,15,,39
2015,32,7,14,1,8,,30
2015,33,5,11,4,18,,38
2015,34,16,5,3,22,,46
2015,35,10,7,2,19,,38
2015,36,5,19,4,10,,38
2015,37,14,8,5,8,,35
2015,38,9,12,2,13,,36
2015,39,8,13,5,16,,42
2015,40,14,9,3,12,,38
2015,41,26,11,5,27,,69
2015,42,19,17,3,28,,67
2015,43,10,19,3,60,,92
2015,44,16,21,3,50,,90
2015,45,19,21,3,71,,114
2015,46,19,19,3,43,,84
2015,47,26,17,1,30,,74
2015,48,16,22,2,57,2,99
2015,49,19,20,2,48,,89
2015,50,21,22,2,64,3,112
2015,51,20,25,5,89,,139
2015,52,17,20,1,48,,86
2015,53,17,15,2,59,,93
2016,1,16,15,6,68,1,106
2016,2,25,25,3,68,,121
2016,3,19,24,2,103,,148
2016,4,28,19,7,91,,145
2016,5,33,28,6,100,,167
2016,6,31,20,3,73,1,128
2016,7,30,30,,144,,204
2016,8,32,26,4,194,,256
2016,9,40,47,1,214,,302
2016,10,40,56,4,189,1,290
2016,11,40,53,1,220,2,316
2016,12,31,30,,162,,223
2016,13,35,42,2,182,,261
2016,14,44,40,4,245,2,335
2016,15,37,47,6,172,1,263
2016,16,32,49,10,162,1,254
2016,17,30,55,4,189,,278
2016,18,25,44,4,162,,235
2016,19,28,41,3,139,,211
2016,20,25,20,4,88,,137
2016,21,27,24,4,37,,92
2016,22,32,24,6,54,,116
2016,23,15,26,4,58,,103
2016,24,14,17,1,24,,56
2016,25,15,18,4,17,,54
2016,26,11,11,4,26,,52
2016,27,15,11,2,11,,39
2016,28,13,17,2,22,,54
2016,29,12,22,2,19,,55
2016,30,4,14,5,9,,32
2016,31,17,18,1,4,,40
2016,32,10,15,3,10,,38
2016,33,21,19,2,15,,57
2016,34,16,20,,8,,44
2016,35,14,11,3,11,,39
2016,36,22,12,3,17,,54
2016,37,19,10,5,9,,43
2016,38,20,8,1,16,,45
2016,39,21,17,10,29,,77
2016,40,22,14,4,47,,87
2016,41,27,22,4,54,,107
2016,42,58,20,3,54,,135
2016,43,48,32,1,67,1,149
2016,44,40,65,4,62,2,173
2016,45,35,50,4,119,,208
2016,46,50,53,2,147,,252
2016,47,66,32,12,178,,288
2016,48,49,62,6,158,,275
2016,49,64,49,18,118,,249
2016,50,42,43,3,159,,247
2016,51,28,41,5,127,,201
2016,52,18,37,4,127,,186
2017,1,29,39,6,98,1,173
2017,2,19,29,4,91,,143
2017,3,27,22,5,65,,119
2017,4,28,32,11,99,,170
2017,5,27,34,5,140,,206
2017,6,23,21,5,100,,149
2017,7,26,36,4,79,,145
2017,8,15,25,8,117,,165
2017,9,21,31,7,100,,159
2017,10,18,29,2,79,,128
2017,11,32,25,2,51,,110
2017,12,24,16,8,56,,104
2017,13,27,22,8,72,,129
2017,14,22,15,8,46,,91
2017,15,11,16,7,47,,81
2017,16,14,27,5,64,,110
2017,17,17,37,7,53,,114
2017,18,16,24,10,61,,111
2017,19,20,13,4,28,,65
2017,20,21,12,3,11,1,48
2017,21,18,13,4,15,,50
2017,22,10,9,2,13,,34
2017,23,11,9,3,33,,56
2017,24,14,10,9,14,,47
2017,25,11,2,2,3,,18
2017,26,3,9,2,7,,21
2017,27,7,6,4,20,,37
2017,28,11,8,3,20,,42
2017,29,13,17,10,21,,61
